,Employed total ;  Persons ;,Employed total ;  Persons ;,Employed total ;  Persons ;,Employed total ;  > Males ;,Employed total ;  > Males ;,Employed total ;  > Males ;,Employed total ;  > Females ;,Employed total ;  > Females ;,Employed total ;  > Females ;,> Employed full-time ;  Persons ;,> Employed full-time ;  Persons ;,> Employed full-time ;  Persons ;,> Employed full-time ;  > Males ;,> Employed full-time ;  > Males ;,> Employed full-time ;  > Males ;,> Employed full-time ;  > Females ;,> Employed full-time ;  > Females ;,> Employed full-time ;  > Females ;,> Employed part-time ;  Persons ;,> Employed part-time ;  > Males ;,> Employed part-time ;  > Females ;,Employment to population ratio ;  Persons ;,Employment to population ratio ;  Persons ;,Employment to population ratio ;  Persons ;,Employment to population ratio ;  > Males ;,Employment to population ratio ;  > Males ;,Employment to population ratio ;  > Males ;,Employment to population ratio ;  > Females ;,Employment to population ratio ;  > Females ;,Employment to population ratio ;  > Females ;,Unemployed total ;  Persons ;,Unemployed total ;  Persons ;,Unemployed total ;  Persons ;,Unemployed total ;  > Males ;,Unemployed total ;  > Males ;,Unemployed total ;  > Males ;,Unemployed total ;  > Females ;,Unemployed total ;  > Females ;,Unemployed total ;  > Females ;,> Unemployed looked for full-time work ;  Persons ;,> Unemployed looked for full-time work ;  > Males ;,> Unemployed looked for full-time work ;  > Females ;,> Unemployed looked for only part-time work ;  Persons ;,> Unemployed looked for only part-time work ;  > Males ;,> Unemployed looked for only part-time work ;  > Females ;,Unemployment rate ;  Persons ;,Unemployment rate ;  Persons ;,Unemployment rate ;  Persons ;,Unemployment rate ;  > Males ;,Unemployment rate ;  > Males ;,Unemployment rate ;  > Males ;,Unemployment rate ;  > Females ;,Unemployment rate ;  > Females ;,Unemployment rate ;  > Females ;,> Unemployment rate looked for full-time work ;  Persons ;,> Unemployment rate looked for full-time work ;  > Males ;,> Unemployment rate looked for full-time work ;  > Females ;,> Unemployment rate looked for only part-time work ;  Persons ;,> Unemployment rate looked for only part-time work ;  > Males ;,> Unemployment rate looked for only part-time work ;  > Females ;,Labour force total ;  Persons ;,Labour force total ;  Persons ;,Labour force total ;  Persons ;,Labour force total ;  > Males ;,Labour force total ;  > Males ;,Labour force total ;  > Males ;,Labour force total ;  > Females ;,Labour force total ;  > Females ;,Labour force total ;  > Females ;,Participation rate ;  Persons ;,Participation rate ;  Persons ;,Participation rate ;  Persons ;,Participation rate ;  > Males ;,Participation rate ;  > Males ;,Participation rate ;  > Males ;,Participation rate ;  > Females ;,Participation rate ;  > Females ;,Participation rate ;  > Females ;,Not in the labour force (NILF) ;  Persons ;,Not in the labour force (NILF) ;  > Males ;,Not in the labour force (NILF) ;  > Females ;,Civilian population aged 15 years and over ;  Persons ;,Civilian population aged 15 years and over ;  > Males ;,Civilian population aged 15 years and over ;  > Females ;
Mar-1984,,1721.1,1735.8,,1073.6,1080.6,,647.4,655.3,,1425.0,1428.8,,1009.2,1013.7,,415.8,415.1,307.0,66.8,240.2,,55.7,56.2,,70.9,71.4,,41.0,41.5,,150.2,160.3,,82.1,83.8,,68.1,76.5,128.2,76.7,51.5,32.1,7.1,25.1,,8.0,8.5,,7.1,7.2,,9.5,10.5,8.2,7.0,11.0,9.5,9.6,9.4,,1871.3,1896.2,,1155.8,1164.4,,715.5,731.8,,60.5,61.4,,76.4,76.9,,45.4,46.4,1194.4,349.1,845.4,3090.6,1513.4,1577.2
Apr-1984,,1716.6,1721.3,,1070.9,1071.5,,645.7,649.8,,1415.8,1413.2,,999.7,997.1,,416.1,416.1,308.1,74.4,233.7,,55.5,55.6,,70.7,70.7,,40.9,41.1,,153.1,155.8,,85.1,82.7,,68.0,73.1,126.3,76.4,49.9,29.4,6.2,23.2,,8.2,8.3,,7.4,7.2,,9.5,10.1,8.2,7.1,10.7,8.7,7.7,9.0,,1869.7,1877.1,,1156.0,1154.2,,713.7,722.9,,60.4,60.7,,76.3,76.2,,45.2,45.8,1217.7,361.3,856.4,3094.7,1515.4,1579.3
May-1984,,1727.9,1728.2,,1077.8,1078.6,,650.1,649.6,,1431.2,1426.5,,1010.2,1009.7,,421.0,416.8,301.8,68.9,232.8,,55.8,55.8,,71.0,71.1,,41.1,41.1,,143.7,144.6,,80.5,80.2,,63.2,64.4,119.3,72.8,46.5,25.3,7.4,17.9,,7.7,7.7,,6.9,6.9,,8.9,9.0,7.7,6.7,10.0,7.7,9.7,7.1,,1871.6,1872.8,,1158.3,1158.8,,713.3,714.0,,60.4,60.4,,76.3,76.4,,45.1,45.2,1226.2,358.8,867.3,3099.0,1517.6,1581.4
Jun-1984,,1732.2,1730.3,,1076.4,1075.0,,655.9,655.3,,1431.9,1426.4,,1007.9,1005.9,,423.9,420.5,303.9,69.1,234.9,,55.8,55.8,,70.8,70.7,,41.4,41.4,,145.9,142.4,,78.6,75.6,,67.3,66.8,115.6,68.4,47.1,26.9,7.2,19.7,,7.8,7.6,,6.8,6.6,,9.3,9.2,7.5,6.4,10.1,8.1,9.4,7.7,,1878.1,1872.7,,1155.0,1150.6,,723.1,722.1,,60.5,60.3,,76.0,75.7,,45.7,45.6,1230.6,369.2,861.3,3103.3,1519.8,1583.4
Jul-1984,,1737.8,1744.8,,1079.3,1082.6,,658.5,662.2,,1424.9,1428.3,,1005.8,1009.3,,419.2,419.0,316.4,73.2,243.2,,55.9,56.1,,70.9,71.1,,41.5,41.8,,142.7,132.5,,74.5,69.2,,68.2,63.3,107.4,63.8,43.6,25.1,5.4,19.7,,7.6,7.1,,6.5,6.0,,9.4,8.7,7.0,5.9,9.4,7.3,6.9,7.5,,1880.5,1877.3,,1153.7,1151.8,,726.7,725.5,,60.5,60.4,,75.8,75.7,,45.8,45.8,1230.0,370.0,860.0,3107.3,1521.8,1585.5
Aug-1984,,1729.4,1722.8,,1074.1,1070.4,,655.3,652.4,,1431.3,1420.6,,1009.7,1004.9,,421.6,415.7,302.2,65.6,236.6,,55.6,55.4,,70.5,70.2,,41.3,41.1,,137.5,129.6,,78.1,75.1,,59.5,54.6,108.1,68.7,39.4,21.5,6.3,15.2,,7.4,7.0,,6.8,6.6,,8.3,7.7,7.1,6.4,8.7,6.6,8.8,6.0,,1867.0,1852.4,,1152.1,1145.5,,714.8,706.9,,60.0,59.5,,75.6,75.2,,45.0,44.5,1259.1,378.5,880.7,3111.5,1524.0,1587.6
Sep-1984,,1744.3,1757.4,,1076.2,1081.4,,668.1,676.0,,1429.3,1433.3,,1005.8,1008.0,,423.6,425.3,324.1,73.5,250.6,,56.0,56.4,,70.5,70.9,,42.0,42.5,,139.2,139.7,,78.2,78.6,,61.0,61.1,111.8,71.6,40.3,27.9,7.0,20.9,,7.4,7.4,,6.8,6.8,,8.4,8.3,7.2,6.6,8.6,7.9,8.7,7.7,,1883.6,1897.1,,1154.4,1160.0,,729.1,737.1,,60.5,60.9,,75.6,76.0,,45.9,46.4,1218.7,366.1,852.6,3115.8,1526.1,1589.6
Oct-1984,,1752.4,1753.6,,1078.6,1077.0,,673.7,676.5,,1439.4,1440.7,,1010.3,1010.6,,429.1,430.1,312.9,66.4,246.4,,56.2,56.2,,70.6,70.5,,42.3,42.5,,129.1,121.3,,77.1,72.4,,52.0,48.9,97.8,64.5,33.3,23.5,7.9,15.6,,6.9,6.5,,6.7,6.3,,7.2,6.7,6.4,6.0,7.2,7.0,10.6,6.0,,1881.4,1874.9,,1155.7,1149.5,,725.7,725.4,,60.3,60.1,,75.6,75.2,,45.6,45.6,1245.4,378.8,866.6,3120.2,1528.3,1592.0
Nov-1984,,1757.0,1759.7,,1084.0,1081.4,,673.0,678.3,,1450.3,1446.4,,1014.0,1009.3,,436.3,437.2,313.3,72.1,241.1,,56.2,56.3,,70.8,70.7,,42.2,42.5,,138.6,125.9,,76.3,70.4,,62.3,55.4,105.0,65.0,40.0,20.9,5.4,15.5,,7.3,6.7,,6.6,6.1,,8.5,7.6,6.8,6.1,8.4,6.2,7.0,6.0,,1895.6,1885.6,,1160.3,1151.8,,735.3,733.7,,60.7,60.3,,75.8,75.3,,46.1,46.0,1239.3,378.8,860.6,3124.9,1530.6,1594.3
Dec-1984,,1758.3,1782.0,,1080.6,1092.7,,677.7,689.3,,1453.5,1473.6,,1017.7,1027.8,,435.8,445.8,308.4,64.8,243.6,,56.2,56.9,,70.5,71.3,,42.4,43.2,,137.6,146.3,,77.7,84.9,,59.9,61.5,114.3,71.5,42.8,32.1,13.4,18.7,,7.3,7.6,,6.7,7.2,,8.1,8.2,7.2,6.5,8.8,9.4,17.1,7.1,,1895.9,1928.3,,1158.3,1177.5,,737.6,750.8,,60.6,61.6,,75.6,76.8,,46.2,47.0,1201.2,355.5,845.8,3129.6,1533.0,1596.6
Jan-1985,,1746.3,1716.6,,1072.9,1066.6,,673.4,650.0,,1433.1,1437.3,,1006.1,1007.4,,427.0,429.9,279.3,59.2,220.1,,55.7,54.8,,69.9,69.5,,42.1,40.7,,138.7,145.4,,77.0,83.4,,61.6,62.0,121.6,74.2,47.5,23.8,9.2,14.5,,7.4,7.8,,6.7,7.3,,8.4,8.7,7.8,6.9,9.9,7.8,13.5,6.2,,1885.0,1862.0,,1149.9,1150.1,,735.0,712.0,,60.1,59.4,,74.9,74.9,,46.0,44.5,1272.0,385.1,886.9,3134.0,1535.2,1598.8
Feb-1985,,1765.6,1758.7,,1080.6,1081.5,,685.0,677.2,,1453.2,1460.0,,1014.5,1020.7,,438.7,439.3,298.7,60.8,237.9,,56.3,56.0,,70.3,70.3,,42.8,42.3,,133.8,149.6,,76.0,83.0,,57.8,66.5,123.6,75.9,47.7,26.0,7.2,18.9,,7.0,7.8,,6.6,7.1,,7.8,8.9,7.8,6.9,9.8,8.0,10.5,7.3,,1899.5,1908.3,,1156.7,1164.5,,742.8,743.7,,60.5,60.8,,75.2,75.7,,46.4,46.5,1230.3,373.0,857.3,3138.6,1537.5,1601.0
Mar-1985,,1743.3,1758.0,,1065.8,1072.7,,677.5,685.3,,1443.4,1448.0,,1004.3,1008.4,,439.1,439.5,310.1,64.3,245.8,,55.5,55.9,,69.2,69.7,,42.3,42.7,,143.7,153.2,,84.0,85.4,,59.8,67.8,121.3,77.4,43.9,31.9,8.0,23.9,,7.6,8.0,,7.3,7.4,,8.1,9.0,7.7,7.1,9.1,9.3,11.1,8.9,,1887.0,1911.2,,1149.8,1158.1,,737.2,753.2,,60.0,60.8,,74.7,75.2,,46.0,47.0,1232.0,381.9,850.1,3143.2,1540.0,1603.3
Apr-1985,,1749.5,1743.1,,1078.7,1074.1,,670.8,669.0,,1440.3,1429.9,,1011.2,1003.1,,429.1,426.8,313.2,71.0,242.2,,55.6,55.4,,70.0,69.7,,41.8,41.7,,135.0,137.9,,74.4,73.0,,60.6,64.9,105.0,64.1,40.9,32.9,8.9,24.0,,7.2,7.3,,6.5,6.4,,8.3,8.8,6.8,6.0,8.7,9.5,11.1,9.0,,1884.5,1881.0,,1153.1,1147.1,,731.4,733.9,,59.9,59.8,,74.8,74.4,,45.6,45.7,1266.1,394.8,871.4,3147.1,1541.9,1605.3
May-1985,,1765.5,1765.8,,1078.5,1079.2,,686.9,686.6,,1447.5,1442.1,,1009.4,1008.7,,438.1,433.3,323.8,70.5,253.3,,56.0,56.0,,69.9,69.9,,42.7,42.7,,129.7,130.6,,71.9,71.6,,57.8,59.0,98.3,62.3,35.9,32.3,9.3,23.0,,6.8,6.9,,6.2,6.2,,7.8,7.9,6.4,5.8,7.7,9.1,11.6,8.3,,1895.2,1896.4,,1150.4,1150.9,,744.7,745.6,,60.1,60.2,,74.5,74.5,,46.3,46.4,1254.8,393.1,861.7,3151.2,1544.0,1607.2
Jun-1985,,1769.6,1767.8,,1076.4,1075.2,,693.2,692.6,,1448.8,1442.1,,1007.6,1005.9,,441.2,436.2,325.7,69.3,256.4,,56.1,56.0,,69.6,69.5,,43.1,43.0,,137.3,133.9,,79.7,76.8,,57.7,57.2,110.3,71.4,38.9,23.7,5.4,18.3,,7.2,7.0,,6.9,6.7,,7.7,7.6,7.1,6.6,8.2,6.8,7.2,6.7,,1906.9,1901.7,,1156.1,1152.0,,750.9,749.7,,60.4,60.3,,74.8,74.5,,46.7,46.6,1253.6,394.1,859.4,3155.3,1546.1,1609.2
Jul-1985,,1788.7,1795.9,,1085.7,1089.1,,703.0,706.8,,1461.0,1463.6,,1019.2,1022.4,,441.8,441.2,332.2,66.7,265.5,,56.6,56.8,,70.1,70.3,,43.6,43.9,,131.1,122.0,,77.5,72.1,,53.6,49.9,98.1,66.7,31.4,23.9,5.4,18.5,,6.8,6.4,,6.7,6.2,,7.1,6.6,6.3,6.1,6.6,6.7,7.5,6.5,,1919.8,1917.8,,1163.2,1161.2,,756.6,756.6,,60.8,60.7,,75.1,75.0,,47.0,47.0,1241.7,387.0,854.6,3159.5,1548.3,1611.3
Aug-1985,,1794.9,1786.2,,1100.0,1096.0,,694.9,690.2,,1479.8,1468.0,,1034.4,1029.0,,445.4,439.0,318.2,67.0,251.2,,56.7,56.5,,71.0,70.7,,43.1,42.8,,124.5,117.1,,68.7,65.9,,55.8,51.2,95.0,60.1,34.9,22.1,5.9,16.3,,6.5,6.2,,5.9,5.7,,7.4,6.9,6.1,5.5,7.4,6.5,8.0,6.1,,1919.4,1903.3,,1168.7,1161.9,,750.7,741.4,,60.7,60.2,,75.4,74.9,,46.5,46.0,1260.4,388.5,872.0,3163.7,1550.4,1613.3
Sep-1985,,1798.0,1811.7,,1103.3,1108.5,,694.7,703.2,,1481.2,1484.7,,1033.5,1035.4,,447.7,449.4,327.0,73.1,253.9,,56.8,57.2,,71.1,71.4,,43.0,43.5,,128.6,128.2,,67.8,67.9,,60.8,60.3,96.4,59.3,37.1,31.8,8.6,23.2,,6.7,6.6,,5.8,5.8,,8.0,7.9,6.1,5.4,7.6,8.9,10.5,8.4,,1926.6,1939.9,,1171.1,1176.4,,755.5,763.6,,60.8,61.2,,75.4,75.8,,46.8,47.3,1228.0,376.1,851.9,3167.9,1552.5,1615.4
Oct-1985,,1785.1,1786.7,,1090.9,1089.7,,694.2,697.1,,1459.9,1462.7,,1017.3,1018.7,,442.6,444.0,324.0,71.0,253.0,,56.3,56.3,,70.2,70.1,,42.9,43.1,,128.9,120.9,,66.4,62.3,,62.5,58.5,91.9,54.9,37.0,29.0,7.4,21.6,,6.7,6.3,,5.7,5.4,,8.3,7.7,5.9,5.1,7.7,8.2,9.5,7.8,,1914.0,1907.6,,1157.3,1152.0,,756.7,755.6,,60.3,60.1,,74.4,74.1,,46.8,46.7,1265.0,402.9,862.1,3172.7,1554.9,1617.7
Nov-1985,,1825.6,1828.7,,1113.0,1110.4,,712.6,718.3,,1490.6,1486.7,,1047.7,1043.0,,442.9,443.7,342.0,67.4,274.6,,57.5,57.6,,71.5,71.3,,44.0,44.3,,129.0,117.5,,66.8,62.0,,62.2,55.5,90.8,54.2,36.6,26.6,7.8,18.9,,6.6,6.0,,5.7,5.3,,8.0,7.2,5.8,4.9,7.6,7.2,10.3,6.4,,1954.6,1946.2,,1179.8,1172.4,,774.8,773.8,,61.5,61.3,,75.8,75.3,,47.8,47.8,1231.2,384.9,846.3,3177.4,1557.3,1620.1
Dec-1985,,1816.3,1840.9,,1102.8,1114.7,,713.5,726.2,,1486.4,1507.7,,1036.6,1047.2,,449.8,460.5,333.2,67.4,265.7,,57.1,57.9,,70.7,71.5,,44.0,44.8,,123.5,130.5,,63.2,68.8,,60.2,61.8,102.8,60.1,42.7,27.8,8.7,19.1,,6.4,6.6,,5.4,5.8,,7.8,7.8,6.4,5.4,8.5,7.7,11.4,6.7,,1939.8,1971.4,,1166.0,1183.4,,773.8,788.0,,61.0,62.0,,74.8,75.9,,47.7,48.6,1210.7,376.3,834.4,3182.1,1559.7,1622.4
Jan-1986,,1828.6,1796.4,,1106.8,1099.1,,721.8,697.3,,1503.3,1506.3,,1043.8,1043.8,,459.5,462.5,290.1,55.3,234.8,,57.4,56.4,,70.8,70.4,,44.4,42.9,,125.2,131.4,,69.9,75.6,,55.3,55.9,106.4,65.4,41.1,25.0,10.2,14.8,,6.4,6.8,,5.9,6.4,,7.1,7.4,6.6,5.9,8.2,7.9,15.5,5.9,,1953.7,1927.8,,1176.7,1174.6,,777.0,753.2,,61.3,60.5,,75.3,75.2,,47.8,46.4,1259.2,387.6,871.7,3187.0,1562.2,1624.8
Feb-1986,,1831.7,1824.1,,1107.7,1108.6,,724.0,715.6,,1499.6,1506.7,,1041.8,1048.1,,457.8,458.7,317.4,60.5,256.9,,57.4,57.1,,70.8,70.9,,44.5,44.0,,129.2,145.2,,66.6,72.9,,62.6,72.4,114.3,66.1,48.2,30.9,6.8,24.1,,6.6,7.4,,5.7,6.2,,8.0,9.2,7.1,5.9,9.5,8.9,10.1,8.6,,1960.9,1969.3,,1174.3,1181.4,,786.6,787.9,,61.4,61.7,,75.1,75.5,,48.3,48.4,1222.6,383.2,839.4,3191.9,1564.6,1627.3
